date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:34	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Jan%202020%2015:34:32%20GMT	http://localhost/robots.txt		(from )
18:34:49	75272/75272	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:34:32%20GMT	http://localhost/9Spares/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/index.html	(from )
18:34:49	84879/84879	---M--	200	added ('OK')	text/css	etag:%2214b8f-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.1.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/css/minified/style.min431f.css	(from http://localhost/9Spares/)
18:34:52	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/9Spares/)
18:35:08	806/806	---M--	200	added ('OK')	application/rss+xml	etag:%22d6220fcde6b749f18dd12e2ad11dc28c%22	http://localhost/9Spares/feed/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/feed/index.html	(from http://localhost/9Spares/)
18:35:09	700/700	---M--	200	added ('OK')	application/rss+xml	etag:%228639a4f0f50cd2e06d3a45aa0831831d%22	http://localhost/9Spares/comments/feed/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/comments/feed/index.html	(from http://localhost/9Spares/)
18:35:09	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.1.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/css/minified/menu-animation.min431f.css	(from http://localhost/9Spares/)
18:35:10	29295/29295	---M--	200	added ('OK')	text/css	etag:%22726f-5871dc47ed100%22	http://localhost/9Spares/wp-includes/css/dist/block-library/style.min.css?ver=5.2.4	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-includes/css/dist/block-library/style.min4d2c.css	(from http://localhost/9Spares/)
18:35:10	30440/30440	---M--	200	added ('OK')	text/css	etag:%2276e8-5969547c5eb80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from http://localhost/9Spares/)
18:35:12	400/400	---M--	200	added ('OK')	text/css	etag:%22190-5970171715e26%22	http://localhost/9Spares/wp-content/plugins/woo-m-pesa-payment-gateway//display.css?ver=1.1	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woo-m-pesa-payment-gateway/display4963.css	(from http://localhost/9Spares/)
18:35:12	26972/26972	---M--	200	added ('OK')	text/css	etag:%22695c-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min.css?ver=2.1.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min431f.css	(from http://localhost/9Spares/)
18:35:12	6355/6355	---M--	200	added ('OK')	text/css	etag:%2218d3-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min.css?ver=2.1.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min431f.css	(from http://localhost/9Spares/)
18:35:13	110612/110612	---M--	200	added ('OK')	text/css	etag:%221b014-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min431f.css	(from http://localhost/9Spares/)
18:35:15	776/776	---M--	200	added ('OK')	text/css	etag:%22308-596b094c39655%22	http://localhost/9Spares/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.1.4	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor8daf.css	(from http://localhost/9Spares/)
18:35:15	14534/14534	---M--	200	added ('OK')	text/css	etag:%2238c6-5911910f11c00%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.4.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min6104.css	(from http://localhost/9Spares/)
18:35:16	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5674753556e80%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.7.5	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/animations/animations.min206d.css	(from http://localhost/9Spares/)
